candidato,freq
María Eugenia Vidal,2953
Daniel Gollan,733
Diego Santilli,2405
Leandro Santoro,730
Graciela Ocaña,335
Cinthia Fernández,442
José Luis Espert,567
Sandra Pitta,143
Guillermo Moreno,208
Juan José Gómez Centurión,89
Nicolás del Caño,150
Florencio Randazzo,932
Javier Milei,788
Facundo Manes,2282
Myriam Bregman,147
Alejandro Biondini,25
Victoria Tolosa Paz,1736
Carolina Castro,171
Adolfo Rubinstein,362
Martín Tetaz,431
Luis Zamora,85
Carolina Píparo,167
Ricardo López Murphy,804
Manuela Castañeira,141
Danya Tavela,53
Cynthia Hotton,101
Marcelo Ramal,55
Jorge Altamira,78
Paula Monteserin,6
Eduardo Awad,19
Miguel Saredi,18
Gisela Marziotta,286
Alejandro Bodart,66
Romina Del Plá,20
Vilma Ripoll,25
Julio Bárbaro,24
Martín Hourest,14
Lucía Romero,1
Juan Pablo Chiesa,28
Gladys Cabezas,6
Pablo Talamoni,8
Eva Gutiérrez,3
Mario Mazzitelli,2
Juan Carlos Neves,14
Federico Winokur,27
Mónica Marquina,46
Raúl Magnasco,4
Daniel Bracamonte,3
Gastón Bruno,7
Emilse Icandri,8
Victoria Villaruel,5
Pablo Sartore,1
Santiago Cúneo,30
María Fernanda Amaya,2
Susana Ocampo,5
Fernando Ramal,7
Lucas Jaszewski,9
Nadia Tolosa,5
Fabiana Zanutti,3
Nydia Lirola,19
Gretel Ledo,5
Florencia Palombo,3
Ernesto Ludueña,1
Sergio Medrano,1
Jorge Alberto Paz,1
José Ignacio Raffo,1
Walter Arias,1
