diario,seccion,n
Ámbito,Deportes,2064
Ámbito,Economía,2058
Ámbito,Espectáculos,1331
Ámbito,Internacional,2059
Ámbito,Política,3425
Ámbito,Sociedad,3301
Clarín,Cultura,457
Clarín,Deportes,3870
Clarín,Economía,2271
Clarín,Espectáculos,1305
Clarín,Internacional,4384
Clarín,Política,3689
Clarín,Sociedad,2193
Infobae,Cultura,780
Infobae,Deportes,1335
Infobae,Economía,2658
Infobae,Espectáculos,2263
Infobae,Internacional,199862
Infobae,Política,2945
Infobae,Sociedad,2198
La Nación,Cultura,484
La Nación,Deportes,4229
La Nación,Economía,3201
La Nación,Espectáculos,5200
La Nación,Internacional,4417
La Nación,Política,3840
La Nación,Sociedad,51493
Página 12,Cultura,22
Página 12,Deportes,1887
Página 12,Economía,1223
Página 12,Espectáculos,858
Página 12,Internacional,1078
Página 12,Política,2690
Página 12,Sociedad,2443
